accession_number,company_cik,owner_key,percent_of_class,control_class,pct_verified,pct_source
0001026608-15-000014,0000002098,0001014360,16.6,stake,True,row13
0001026608-15-000015,0000002098,0001213244,6.1,stake,True,row13
0000950138-13-000197,0000002186,0001414517,6.3,stake,True,row13
0001144204-14-053861,0000002186,0001557178,,unknown,False,rejected_below_13d_threshold
0001144204-17-000681,0000002186,0001591508,30.2,stake,True,row13
0001193125-21-255054,0000002186,0001878780,15.7,stake,True,row13
0001048703-06-000257,0000002230,0001048703,,unknown,False,rejected_below_13d_threshold
0001062993-23-017384,0000002230,0001510281,5.02,stake,True,row13
0000947871-17-000613,0000002488,0001704268,12.9,stake,True,row13
0001104659-07-013904,0000002809,0000002809,13.2,stake,True,row13
0001193125-16-708564,0000002969,0001336528,7.8,stake,True,row13
0001104659-26-020760,0000003197,0000946589,,unknown,False,
0001140361-13-019317,0000003197,0000065201,26.0,stake,True,row13
0001193125-15-169237,0000003197,0001422862,15.0,stake,True,row13
0001193125-17-082021,0000003197,0000310051,5.5,stake,True,row13
0000899689-23-000054,0000003499,0000899689,42.2,stake,True,row13
0000907618-23-000009,0000003499,0000907618,42.2,stake,True,row13
0000898822-18-000149,0000003545,0001591415,42.97,stake,True,row13
0000898822-19-000086,0000003545,0000003545,11.0,stake,True,llm
0001104659-13-087746,0000003545,0001591869,42.97,stake,True,row13
0001104659-19-007954,0000003545,0001297619,6.6,stake,True,row13
0000928464-15-000041,0000003570,0000921669,,unknown,False,rejected_below_13d_threshold
0000902664-19-003577,0000004281,0000904495,,unknown,False,rejected_below_13d_threshold
0000902664-20-000179,0000004281,0001791786,9.6,stake,True,row13
0000004457-06-000012,0000004457,0000004457,50.0004,control,True,row13
0000912057-94-001789,0000004457,0000923212,47.5,stake,True,row13
0000912057-94-001795,0000004457,0000923207,47.5,stake,True,row13
0001104659-22-117437,0000004457,0000925122,43.2,stake,True,row13
0001048703-06-000181,0000005094,0001048703,5.0,stake,True,llm
0000807249-20-000104,0000006176,0000807249,17.76,stake,True,aggregate_prose
0000921895-22-000091,0000006176,0001446114,,unknown,False,rejected_below_13d_threshold
0000921895-25-003128,0000006176,0001836192,,unknown,False,rejected_below_13d_threshold
0001104659-21-106368,0000006176,0001670058,13.9,stake,True,row13
0001144204-16-092331,0000006176,0001671002,13.9,stake,True,row13
0001193125-20-219016,0000006176,0001820922,5.33,stake,True,row13
0001193125-20-264801,0000006176,0001351834,18.7,stake,True,row13
0001731122-25-001701,0000006176,0001991451,5.19,stake,True,prose
0000006207-06-000036,0000006207,0000006207,32.7,stake,True,row13
0000897446-95-000042,0000006207,0000947227,9.2,stake,True,row13
0000910079-94-000005,0000006207,0000910079,18.1,stake,True,row13
0000950109-94-000142,0000006207,0000918213,25.97,stake,True,row13
0000950136-00-000767,0000006207,0001113616,5.02,stake,True,row13
0001104659-21-069853,0000006207,0000933422,7.1,stake,True,row13
0001105838-07-000031,0000006207,0001105838,8.4,stake,True,row13
0001193125-13-129332,0000006207,0001316729,9.6,stake,True,row13
0001398344-20-012077,0000006207,0001705447,17.9,stake,True,row13
0000921895-18-001360,0000006845,0001559771,,unknown,False,rejected_below_13d_threshold
0000807985-18-000011,0000006955,0000807985,9.8,stake,True,row13
0001418812-14-000039,0000007431,0001418812,,unknown,False,rejected_below_13d_threshold
0001437749-14-018500,0000007623,0001467401,,unknown,False,rejected_below_13d_threshold
0001437749-14-021448,0000007623,0001022585,38.2,stake,True,row13
0001140361-26-013348,0000007789,0002113028,,unknown,False,
0000902664-16-004960,0000008063,0001663362,16.0,stake,True,row13
0001214659-22-004136,0000008063,0001873893,,unknown,False,rejected_below_13d_threshold
0001821457-20-000003,0000008063,0001821457,6.3,stake,True,row13
0000914260-14-000101,0000008146,0001527056,12.24,stake,True,aggregate_prose
0000914260-14-000102,0000008146,0001527095,12.24,stake,True,aggregate_prose
0000914260-14-000103,0000008146,0001527094,12.24,stake,True,aggregate_prose
0000914260-14-000104,0000008146,0001527099,12.24,stake,True,aggregate_prose
0001171520-22-000566,0000008146,0000937541,5.9,stake,True,row13
0001214659-21-004378,0000008146,0001794034,5.0,stake,True,row13
0001815572-25-000007,0000008146,0001815572,,unknown,False,
0001019056-09-000188,0000008504,0001276537,22.5,stake,True,row13
0001144204-13-054251,0000008504,0001405965,46.88,stake,True,row13
0001185185-14-000350,0000008504,0001509763,,unknown,False,rejected_below_13d_threshold
0001193125-11-005176,0000008504,0001308037,24.9,stake,True,row13
0001193125-11-005205,0000008504,0001509704,28.1,stake,True,row13
0001575705-18-000049,0000008504,0001677798,59.4,control,True,row13
0001193125-18-080819,0000008670,0001336528,7.2,stake,True,row13
0000892712-25-000043,0000009389,0000948669,,unknown,False,
0001062993-25-002363,0000009521,0001510281,,unknown,False,
0001067621-07-000012,0000009521,0001067621,5.53,stake,True,row13
0000899681-12-000441,0000010048,0001276245,9.33,stake,True,row13
0000899681-18-000060,0000010048,0001750734,16.4,stake,True,row13
0000921895-25-003243,0000010048,0001380585,9.1,stake,True,llm
0000921895-26-001018,0000010048,0001461945,5.1,stake,True,llm
0000929638-25-002512,0000010048,0002074670,5.2,stake,True,llm
0001193125-08-037588,0000010048,0001264188,6.5,stake,True,row13
0001193125-13-254173,0000010048,0000902749,18.3,stake,True,row13
0000807249-14-000066,0000010329,0000807249,10.84,stake,True,aggregate_prose
0001437749-24-014887,0000010329,0001813065,5.3,stake,True,row13
0001193125-26-092498,0000011544,0001142206,15.7,stake,True,llm
0001193125-26-092603,0000011544,0000918186,25.51,stake,True,prose
0001174947-21-000051,0000012040,0001193037,100.0,control,True,aggregate_total
0000012208-25-000069,0000012208,0000940805,14.6,stake,True,prose
0001628280-17-006782,0000012208,0001248076,89.3,control,True,row13
0001213900-20-000986,0000012239,0001799654,40.2,stake,True,row13
0001213900-22-083244,0000012239,0001856536,5.09,stake,True,row13
0001213900-23-099249,0000012239,0001538372,5.3,stake,True,row13
0001513162-21-000027,0000012239,0001846823,,unknown,False,
0001140377-02-000027,0000013156,0000013156,85.0,control,True,row13
0001255294-06-000465,0000013156,0001367517,49.4,stake,True,row13
0001255294-09-000680,0000013156,0001471461,82.34,control,True,row13
0001445866-17-001428,0000013156,0001207741,5.69,stake,True,row13
0001654954-19-007068,0000013156,0001777533,,unknown,False,
0001654954-19-007069,0000013156,0001777608,,unknown,False,
0001839882-22-007258,0000013156,0001920194,5.9,stake,True,row13
0001437749-10-000965,0000014177,0001487582,76.6,control,True,row13
0001193125-17-099889,0000014693,0001701991,52.3,control,True,row13
0000069891-94-000001,0000015615,0000069891,,unknown,False,
0001193125-15-399007,0000015615,0001079760,7.4,stake,True,row13
0001193125-19-296553,0000015615,0000920559,13.3,stake,True,row13
0001332596-15-000009,0000015847,0001332596,5.14,stake,True,aggregate_total
0001036241-20-000008,0000016160,0001036241,13.26,stake,True,aggregate_total
0001193125-22-263028,0000016160,0001651875,7.5,stake,True,row13
0001354488-15-004100,0000016160,0001034199,32.0,stake,True,row13
0000947871-16-001112,0000016732,0001383493,6.3,stake,True,row13
0001144204-18-043237,0000016732,0001124908,,unknown,False,rejected_below_13d_threshold
0001193125-18-244115,0000016732,0001040273,5.65,stake,True,row13
0000897485-00-000090,0000016859,0000897485,30.9,stake,True,row13
0000948727-01-500011,0000016859,0000948727,12.4,stake,True,row13
0001085037-06-000227,0000016859,0001302292,10.3,stake,True,row13
0001144204-13-065968,0000016859,0000949119,,unknown,False,rejected_below_13d_threshold
0001213900-23-094576,0000016859,0001201333,12.4,stake,True,row13
0000902664-21-004063,0000016868,0001647251,5.2,stake,True,row13
0001104659-21-040741,0000016868,0001052192,14.3,stake,True,row13
0001193125-16-488221,0000016875,0001336528,9.1,stake,True,row13
0001193125-22-094303,0000016918,0000925761,98.0,control,True,aggregate_total
0001085146-19-001293,0000017313,0001053994,5.02,stake,True,row13
0001193125-12-255696,0000017313,0001423296,6.7,stake,True,row13
0000921895-18-000160,0000018498,0001560207,6.3,stake,True,row13
0000921895-26-000992,0000018498,0001380585,,unknown,False,
0000893838-99-000201,0000018748,0001006975,,unknown,False,
0000893838-99-000203,0000018748,0001007314,11.9,stake,True,row13
0000807985-19-000015,0000018926,0000807985,6.2,stake,True,row13
0001011438-17-000194,0000018926,0001535472,5.5,stake,True,row13
0001193125-17-336661,0000018926,0001219573,8.7,stake,True,row13
0001193125-18-100691,0000018926,0001021944,9.7,stake,True,row13
0000807249-17-000051,0000019584,0000807249,5.28,stake,True,aggregate_prose
0000902561-96-000036,0000019871,0001013097,6.34,stake,True,row13
0000950137-98-001368,0000019871,0001058929,7.9,stake,True,row13
0001193125-06-143204,0000019871,0001366847,7.6,stake,True,row13
0001699503-17-000003,0000019871,0001699503,5.2,stake,True,row13
0001731122-25-001730,0000019871,0001991451,6.45,stake,True,prose
0002056058-25-000003,0000019871,0000944502,10.09,stake,True,llm
